BODY FRAME,TOES,BODY HAIR,TEETH ALIGNMENT,DIALY LIFE,WORK,WORK NATURE,SLEEP CYCLE,WEATHER,SKIN TEXTURE,Dominant_Dosha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Vata
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold",Thicker skin usually beautiful with no need for lubrication,Vata
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Large fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Long tapering fingers/toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Dislikes routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,"Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Long tapering fingers/toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work","Light sleeper, wakes frequently","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Large fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Sound, heavy sleeper (8+ hours)","Prefers warm climate, sunshine, moisture. Dislikes dry, cold",Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,Moderate amount of body hair,"Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Large fingers/toes,Moderate amount of body hair,"Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Large fingers/toes,Moderate amount of body hair,"Large, even, gleaming teeth",Works well with routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,"Dry skin, chaps easily, prone to calluses",Kapha
Large body,Large fingers/toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
